instance_id,repo,difficulty,created_at,ps_len,patch_len,test_patch_len,n_files
django__django-12741,django/django,<15 min fix,2020-04-17T22:35:55Z,398,1527,1036,2
django__django-12754,django/django,15 min - 1 hour,2020-04-19T10:59:30Z,860,1377,1549,1
django__django-12774,django/django,15 min - 1 hour,2020-04-22T11:02:30Z,1094,947,3111,1
django__django-12858,django/django,15 min - 1 hour,2020-05-05T04:49:02Z,794,690,723,1
django__django-12965,django/django,15 min - 1 hour,2020-05-24T13:20:03Z,2275,523,556,1
django__django-13012,django/django,15 min - 1 hour,2020-06-02T21:19:37Z,1414,510,767,1
django__django-13023,django/django,<15 min fix,2020-06-04T20:40:44Z,522,582,1232,1
django__django-13028,django/django,15 min - 1 hour,2020-06-05T19:49:04Z,2839,693,2155,1
django__django-13033,django/django,15 min - 1 hour,2020-06-07T14:52:19Z,3732,970,1384,1
django__django-13089,django/django,<15 min fix,2020-06-20T07:36:10Z,1578,869,971,1
django__django-13109,django/django,<15 min fix,2020-06-25T08:36:45Z,1922,612,4015,1
django__django-13112,django/django,<15 min fix,2020-06-26T04:51:38Z,1944,884,1331,1
django__django-13121,django/django,15 min - 1 hour,2020-06-29T09:04:15Z,1189,6564,1443,4
django__django-13128,django/django,1-4 hours,2020-06-30T18:06:56Z,422,3354,5655,1
django__django-13158,django/django,15 min - 1 hour,2020-07-06T19:18:11Z,1176,961,772,1
django__django-13195,django/django,15 min - 1 hour,2020-07-15T11:00:07Z,2402,2611,3317,3
django__django-13212,django/django,1-4 hours,2020-07-21T02:53:58Z,468,7779,5326,2
django__django-13279,django/django,15 min - 1 hour,2020-08-07T05:15:16Z,432,1278,2230,1
django__django-13297,django/django,<15 min fix,2020-08-12T11:20:33Z,1384,1114,1989,1
django__django-13315,django/django,15 min - 1 hour,2020-08-17T04:24:39Z,285,1186,3662,1
django__django-13343,django/django,15 min - 1 hour,2020-08-24T19:29:12Z,1260,980,1150,1
django__django-13344,django/django,1-4 hours,2020-08-24T20:50:35Z,1361,5088,7843,3
django__django-13346,django/django,15 min - 1 hour,2020-08-25T06:25:31Z,620,1839,1510,1
django__django-13363,django/django,<15 min fix,2020-08-29T18:59:41Z,1676,1025,1752,1
django__django-13401,django/django,15 min - 1 hour,2020-09-09T11:19:00Z,1234,2030,1703,1
django__django-13406,django/django,<15 min fix,2020-09-10T12:38:11Z,3084,359,1820,1
django__django-13410,django/django,<15 min fix,2020-09-11T09:58:41Z,1242,651,1453,1
django__django-13417,django/django,<15 min fix,2020-09-14T07:49:15Z,940,654,813,1
django__django-13449,django/django,1-4 hours,2020-09-22T13:04:03Z,6278,1290,2808,1
django__django-13512,django/django,<15 min fix,2020-10-08T13:52:57Z,462,1256,1284,2
django__django-13513,django/django,15 min - 1 hour,2020-10-08T14:07:33Z,1158,3686,1653,1
django__django-13516,django/django,15 min - 1 hour,2020-10-08T19:00:01Z,619,476,1163,1
django__django-13551,django/django,<15 min fix,2020-10-17T17:22:01Z,603,1557,3966,1
django__django-13568,django/django,15 min - 1 hour,2020-10-19T15:20:08Z,765,672,3072,1
django__django-13569,django/django,15 min - 1 hour,2020-10-19T21:20:55Z,1983,519,1035,1
django__django-13590,django/django,15 min - 1 hour,2020-10-23T09:34:55Z,859,823,1677,1
django__django-13658,django/django,15 min - 1 hour,2020-11-09T20:50:28Z,1237,854,1582,1
django__django-13670,django/django,15 min - 1 hour,2020-11-12T11:45:51Z,767,476,746,1
django__django-13741,django/django,<15 min fix,2020-12-02T10:52:52Z,1020,1209,399,1
django__django-13786,django/django,15 min - 1 hour,2020-12-17T21:10:10Z,740,935,1613,1
django__django-13794,django/django,<15 min fix,2020-12-19T20:09:34Z,307,610,1741,1
django__django-13807,django/django,<15 min fix,2020-12-23T21:09:32Z,1501,1917,1607,1
django__django-13809,django/django,15 min - 1 hour,2020-12-24T15:31:35Z,457,1222,2039,1
django__django-13810,django/django,15 min - 1 hour,2020-12-26T12:31:18Z,2259,1176,1244,1
django__django-13820,django/django,15 min - 1 hour,2020-12-28T22:07:57Z,2102,1408,1874,1
django__django-13821,django/django,<15 min fix,2020-12-29T15:16:10Z,538,623,810,1
django__django-13837,django/django,1-4 hours,2021-01-04T17:44:23Z,1643,1037,1999,1
django__django-13925,django/django,15 min - 1 hour,2021-01-21T08:08:55Z,4086,630,3131,1
django__django-13933,django/django,<15 min fix,2021-01-26T03:58:23Z,1207,687,906,1
django__django-13964,django/django,15 min - 1 hour,2021-02-02T17:07:43Z,1870,696,2297,1
django__django-14007,django/django,1-4 hours,2021-02-13T09:00:02Z,1214,2029,2643,1
django__django-14011,django/django,1-4 hours,2021-02-15T06:15:21Z,1907,2233,5803,2
django__django-14017,django/django,15 min - 1 hour,2021-02-18T13:05:27Z,1269,624,1241,1
django__django-14034,django/django,15 min - 1 hour,2021-02-22T19:32:50Z,1131,1576,1503,1
django__django-14053,django/django,15 min - 1 hour,2021-02-25T23:57:27Z,3108,2122,731,1
django__django-14089,django/django,<15 min fix,2021-03-06T20:51:08Z,318,391,702,1
django__django-14122,django/django,15 min - 1 hour,2021-03-13T19:57:16Z,463,1126,1223,1
django__django-14140,django/django,15 min - 1 hour,2021-03-17T11:37:55Z,1152,1026,3838,1
django__django-14155,django/django,15 min - 1 hour,2021-03-19T15:44:25Z,553,949,1628,1
django__django-14170,django/django,15 min - 1 hour,2021-03-23T08:53:41Z,1739,3448,2024,2
django__django-14238,django/django,15 min - 1 hour,2021-04-08T10:41:31Z,2590,627,1920,1
django__django-14311,django/django,15 min - 1 hour,2021-04-25T02:54:34Z,605,947,1277,1
django__django-14315,django/django,<15 min fix,2021-04-26T12:39:01Z,489,1077,1855,2
django__django-14349,django/django,15 min - 1 hour,2021-05-04T20:10:27Z,2383,926,1174,1
django__django-14351,django/django,15 min - 1 hour,2021-05-05T03:50:44Z,8541,770,744,1
django__django-14373,django/django,<15 min fix,2021-05-10T14:40:32Z,220,476,862,1
django__django-14376,django/django,<15 min fix,2021-05-10T20:42:18Z,782,1845,2915,2
django__django-14404,django/django,<15 min fix,2021-05-17T11:24:06Z,304,917,1843,1
django__django-14434,django/django,15 min - 1 hour,2021-05-23T12:27:14Z,190,1423,1289,1
django__django-14493,django/django,<15 min fix,2021-06-05T12:50:25Z,1456,530,1385,1
django__django-14500,django/django,15 min - 1 hour,2021-06-08T05:08:08Z,292,1017,1219,1
django__django-14534,django/django,<15 min fix,2021-06-17T15:37:34Z,1640,386,1610,1
django__django-14539,django/django,<15 min fix,2021-06-19T11:31:16Z,353,749,701,1
django__django-14559,django/django,15 min - 1 hour,2021-06-26T05:38:46Z,476,1349,1357,1
django__django-14580,django/django,<15 min fix,2021-07-01T07:38:03Z,1576,535,693,1
django__django-14608,django/django,<15 min fix,2021-07-07T19:51:30Z,605,881,2562,1
django__django-14631,django/django,1-4 hours,2021-07-13T09:16:48Z,1399,5201,2421,2
django__django-14672,django/django,15 min - 1 hour,2021-07-20T10:47:34Z,6760,511,3427,1
django__django-14725,django/django,15 min - 1 hour,2021-08-01T21:24:36Z,378,2530,3290,1
django__django-14752,django/django,<15 min fix,2021-08-07T16:34:32Z,2847,1465,1637,1
django__django-14765,django/django,<15 min fix,2021-08-12T05:59:11Z,558,787,478,1
django__django-14771,django/django,15 min - 1 hour,2021-08-15T07:26:17Z,994,693,3292,1
django__django-14787,django/django,<15 min fix,2021-08-23T12:59:59Z,745,685,1050,1
django__django-14792,django/django,<15 min fix,2021-08-24T09:25:15Z,1514,486,1638,1
django__django-14855,django/django,<15 min fix,2021-09-14T01:27:01Z,1011,687,2805,1
django__django-14915,django/django,<15 min fix,2021-09-29T22:00:15Z,1007,416,1221,1
django__django-14999,django/django,<15 min fix,2021-10-16T09:31:21Z,262,1226,1674,1
django__django-15022,django/django,15 min - 1 hour,2021-10-24T17:48:28Z,1224,1106,3534,1
django__django-15037,django/django,15 min - 1 hour,2021-10-30T15:21:38Z,502,1403,1441,1
django__django-15098,django/django,15 min - 1 hour,2021-11-17T21:30:07Z,2598,403,2504,1
django__django-15103,django/django,15 min - 1 hour,2021-11-19T15:57:54Z,378,1606,1296,2
django__django-15104,django/django,<15 min fix,2021-11-19T20:46:58Z,4594,590,1326,1
django__django-15127,django/django,<15 min fix,2021-11-25T13:14:38Z,306,732,3138,1
django__django-15128,django/django,1-4 hours,2021-11-25T15:50:24Z,2662,3798,2972,1
django__django-15161,django/django,15 min - 1 hour,2021-12-06T09:06:13Z,504,1795,2701,1
django__django-15252,django/django,15 min - 1 hour,2021-12-28T15:51:06Z,1681,850,4447,1
django__django-15268,django/django,1-4 hours,2022-01-01T09:57:13Z,1305,1228,3414,1
django__django-15277,django/django,<15 min fix,2022-01-03T12:14:06Z,2748,653,1235,1
django__django-15278,django/django,15 min - 1 hour,2022-01-03T20:01:32Z,1222,1128,951,1
django__django-15280,django/django,15 min - 1 hour,2022-01-04T11:16:35Z,2509,929,1514,1
django__django-15315,django/django,<15 min fix,2022-01-13T18:51:58Z,793,665,871,1
django__django-15368,django/django,<15 min fix,2022-01-27T13:44:35Z,1180,1214,858,1
django__django-15375,django/django,15 min - 1 hour,2022-01-28T14:48:03Z,1613,733,962,1
django__django-15380,django/django,<15 min fix,2022-01-31T19:44:44Z,1608,827,1319,1
django__django-15382,django/django,15 min - 1 hour,2022-02-01T18:29:41Z,407,959,545,1
django__django-15467,django/django,<15 min fix,2022-02-27T03:00:31Z,727,702,1000,1
django__django-15499,django/django,<15 min fix,2022-03-10T22:32:35Z,263,906,1139,1
django__django-15503,django/django,1-4 hours,2022-03-12T06:22:37Z,1797,3313,1545,1
django__django-15525,django/django,15 min - 1 hour,2022-03-18T10:39:26Z,4379,640,3254,1
django__django-15554,django/django,15 min - 1 hour,2022-03-29T10:12:46Z,1278,4891,1401,1
django__django-15561,django/django,15 min - 1 hour,2022-04-01T18:29:04Z,359,2007,1152,2
django__django-15563,django/django,15 min - 1 hour,2022-04-06T02:48:01Z,1727,2588,899,2
django__django-15569,django/django,<15 min fix,2022-04-08T06:55:17Z,640,481,2662,1
django__django-15572,django/django,<15 min fix,2022-04-09T09:38:31Z,1388,855,742,1
django__django-15629,django/django,1-4 hours,2022-04-23T21:58:24Z,2395,5128,6409,4
django__django-15695,django/django,15 min - 1 hour,2022-05-16T07:58:51Z,1259,737,903,1
django__django-15731,django/django,15 min - 1 hour,2022-05-24T12:30:05Z,1179,775,939,1
django__django-15732,django/django,15 min - 1 hour,2022-05-24T12:58:31Z,599,2829,3349,1
django__django-15741,django/django,<15 min fix,2022-05-28T09:52:42Z,365,458,1229,1
django__django-15814,django/django,15 min - 1 hour,2022-07-03T19:10:56Z,2646,598,700,1
django__django-15851,django/django,<15 min fix,2022-07-18T01:36:33Z,632,514,540,1
django__django-15863,django/django,<15 min fix,2022-07-20T12:58:04Z,838,427,808,1
django__django-15916,django/django,15 min - 1 hour,2022-08-04T18:59:18Z,1744,1709,1569,1
django__django-15930,django/django,<15 min fix,2022-08-07T15:26:41Z,689,857,902,1
django__django-15957,django/django,1-4 hours,2022-08-13T06:18:25Z,854,3039,2870,1
django__django-15973,django/django,15 min - 1 hour,2022-08-19T18:10:02Z,5339,633,2498,1
django__django-15987,django/django,<15 min fix,2022-08-23T10:07:03Z,176,697,1182,1
django__django-16032,django/django,15 min - 1 hour,2022-09-06T09:54:57Z,778,2191,1445,2
django__django-16082,django/django,15 min - 1 hour,2022-09-21T18:49:40Z,308,356,706,1
django__django-16100,django/django,<15 min fix,2022-09-24T13:32:02Z,281,1677,3201,1
django__django-16116,django/django,<15 min fix,2022-09-25T23:54:49Z,758,1265,773,1
django__django-16136,django/django,15 min - 1 hour,2022-09-29T11:47:50Z,2087,753,1590,1
django__django-16139,django/django,<15 min fix,2022-09-30T08:51:16Z,1413,697,1865,1
django__django-16145,django/django,<15 min fix,2022-10-03T05:09:14Z,589,1156,1011,1
django__django-16255,django/django,<15 min fix,2022-11-04T13:49:40Z,1566,539,2292,1
django__django-16256,django/django,15 min - 1 hour,2022-11-04T14:26:44Z,2110,5054,5401,2
django__django-16263,django/django,1-4 hours,2022-11-06T07:38:18Z,656,9785,2125,4
django__django-16315,django/django,15 min - 1 hour,2022-11-22T09:44:54Z,1298,2319,2176,2
django__django-16333,django/django,<15 min fix,2022-11-27T20:09:15Z,557,397,1420,1
django__django-16429,django/django,<15 min fix,2023-01-05T11:41:37Z,964,359,1339,1
django__django-16454,django/django,15 min - 1 hour,2023-01-15T09:23:24Z,2039,857,1990,1
django__django-16485,django/django,15 min - 1 hour,2023-01-18T22:03:52Z,246,449,591,1
django__django-16493,django/django,15 min - 1 hour,2023-01-20T18:29:25Z,1141,692,2210,1
django__django-16502,django/django,15 min - 1 hour,2023-01-26T09:21:31Z,1676,2176,3506,1
django__django-16527,django/django,15 min - 1 hour,2023-02-05T22:05:00Z,493,581,2633,1
django__django-16560,django/django,1-4 hours,2023-02-16T10:45:56Z,840,10743,11164,2
django__django-16569,django/django,<15 min fix,2023-02-17T20:11:38Z,1740,647,567,1
django__django-16595,django/django,<15 min fix,2023-02-24T10:30:35Z,1540,712,2160,1
django__django-16612,django/django,15 min - 1 hour,2023-03-02T19:06:12Z,723,630,4140,1
django__django-16631,django/django,1-4 hours,2023-03-06T15:19:52Z,824,2723,1622,2
django__django-16642,django/django,<15 min fix,2023-03-11T07:38:47Z,261,632,619,1
django__django-16661,django/django,15 min - 1 hour,2023-03-18T09:26:58Z,1315,1152,1549,1
django__django-16662,django/django,15 min - 1 hour,2023-03-18T18:07:18Z,740,765,971,1
django__django-16667,django/django,15 min - 1 hour,2023-03-20T21:32:53Z,1758,529,2112,1
django__django-16801,django/django,<15 min fix,2023-04-26T07:23:56Z,724,1451,952,1
django__django-16819,django/django,15 min - 1 hour,2023-05-01T15:20:04Z,146,641,696,1
django__django-16877,django/django,15 min - 1 hour,2023-05-19T23:11:10Z,435,628,2195,1
django__django-16899,django/django,<15 min fix,2023-05-26T13:41:37Z,784,875,1379,1
django__django-16901,django/django,15 min - 1 hour,2023-05-30T05:08:34Z,1014,1316,985,1
django__django-16938,django/django,15 min - 1 hour,2023-06-03T11:18:11Z,4015,1354,5322,2
django__django-16950,django/django,15 min - 1 hour,2023-06-06T19:58:48Z,1443,824,1676,1
django__django-17029,django/django,<15 min fix,2023-06-29T13:18:26Z,878,426,834,1
django__django-17084,django/django,15 min - 1 hour,2023-07-17T16:54:19Z,648,1421,1381,1
django__django-17087,django/django,<15 min fix,2023-07-17T20:28:41Z,1135,555,974,1
django__django-7530,django/django,15 min - 1 hour,2016-11-08T17:27:19Z,481,754,1801,1
django__django-9296,django/django,<15 min fix,2017-10-27T11:10:04Z,411,523,668,1
matplotlib__matplotlib-13989,matplotlib/matplotlib,<15 min fix,2019-04-19T01:47:57Z,1714,505,495,1
matplotlib__matplotlib-14623,matplotlib/matplotlib,15 min - 1 hour,2019-06-25T14:01:17Z,1117,3862,523,3
matplotlib__matplotlib-20488,matplotlib/matplotlib,15 min - 1 hour,2021-06-23T03:05:05Z,1952,928,1474,1
matplotlib__matplotlib-20676,matplotlib/matplotlib,<15 min fix,2021-07-19T10:10:07Z,1645,838,1432,1
matplotlib__matplotlib-20826,matplotlib/matplotlib,15 min - 1 hour,2021-08-11T06:23:50Z,2496,774,798,1
matplotlib__matplotlib-20859,matplotlib/matplotlib,<15 min fix,2021-08-19T09:03:04Z,2582,979,665,1
matplotlib__matplotlib-21568,matplotlib/matplotlib,15 min - 1 hour,2021-11-08T18:41:08Z,1297,743,2599,1
matplotlib__matplotlib-22719,matplotlib/matplotlib,<15 min fix,2022-03-28T14:42:28Z,10176,1122,637,1
matplotlib__matplotlib-22865,matplotlib/matplotlib,15 min - 1 hour,2022-04-20T15:15:11Z,1515,844,1444,1
matplotlib__matplotlib-22871,matplotlib/matplotlib,15 min - 1 hour,2022-04-21T13:10:50Z,1439,722,667,1
matplotlib__matplotlib-23299,matplotlib/matplotlib,15 min - 1 hour,2022-06-18T01:34:39Z,1780,646,709,1
matplotlib__matplotlib-23314,matplotlib/matplotlib,15 min - 1 hour,2022-06-21T02:41:34Z,943,421,1284,1
matplotlib__matplotlib-23412,matplotlib/matplotlib,15 min - 1 hour,2022-07-11T01:41:11Z,1859,654,1959,1
matplotlib__matplotlib-23476,matplotlib/matplotlib,<15 min fix,2022-07-22T18:58:22Z,3251,519,702,1
matplotlib__matplotlib-24026,matplotlib/matplotlib,15 min - 1 hour,2022-09-28T02:45:01Z,2133,1615,702,1
matplotlib__matplotlib-24149,matplotlib/matplotlib,<15 min fix,2022-10-12T22:00:54Z,3224,972,642,1
matplotlib__matplotlib-24177,matplotlib/matplotlib,<15 min fix,2022-10-15T10:52:31Z,2031,637,3067,1
matplotlib__matplotlib-24570,matplotlib/matplotlib,<15 min fix,2022-11-30T15:50:17Z,1356,679,2241,1
matplotlib__matplotlib-24627,matplotlib/matplotlib,15 min - 1 hour,2022-12-05T00:05:54Z,395,627,705,1
matplotlib__matplotlib-24637,matplotlib/matplotlib,15 min - 1 hour,2022-12-06T03:42:05Z,2257,802,1615,1
matplotlib__matplotlib-24870,matplotlib/matplotlib,15 min - 1 hour,2023-01-02T20:37:49Z,1150,3653,1212,2
matplotlib__matplotlib-24970,matplotlib/matplotlib,15 min - 1 hour,2023-01-13T14:23:39Z,1758,1598,679,1
matplotlib__matplotlib-25122,matplotlib/matplotlib,<15 min fix,2023-02-01T03:41:00Z,1084,1300,2614,1
matplotlib__matplotlib-25287,matplotlib/matplotlib,<15 min fix,2023-02-22T18:19:27Z,2097,1671,1134,1
matplotlib__matplotlib-25311,matplotlib/matplotlib,<15 min fix,2023-02-23T21:04:12Z,908,924,1413,1
matplotlib__matplotlib-25332,matplotlib/matplotlib,<15 min fix,2023-02-26T11:18:40Z,1004,824,928,1
matplotlib__matplotlib-25479,matplotlib/matplotlib,<15 min fix,2023-03-16T17:59:41Z,5785,1187,1270,2
matplotlib__matplotlib-25775,matplotlib/matplotlib,15 min - 1 hour,2023-04-26T21:26:46Z,718,5178,2655,3
matplotlib__matplotlib-25960,matplotlib/matplotlib,15 min - 1 hour,2023-05-23T21:58:53Z,788,2269,1419,1
matplotlib__matplotlib-26113,matplotlib/matplotlib,<15 min fix,2023-06-12T18:56:33Z,9424,602,1269,1
matplotlib__matplotlib-26208,matplotlib/matplotlib,<15 min fix,2023-06-28T21:31:50Z,2079,627,863,1
matplotlib__matplotlib-26291,matplotlib/matplotlib,15 min - 1 hour,2023-07-12T04:29:07Z,3844,583,832,1
matplotlib__matplotlib-26342,matplotlib/matplotlib,15 min - 1 hour,2023-07-18T10:06:19Z,571,687,1061,1
matplotlib__matplotlib-26466,matplotlib/matplotlib,15 min - 1 hour,2023-08-07T19:30:22Z,1412,1783,1368,1
mwaskom__seaborn-3069,mwaskom/seaborn,15 min - 1 hour,2022-10-09T23:31:20Z,1188,2235,1045,1
mwaskom__seaborn-3187,mwaskom/seaborn,15 min - 1 hour,2022-12-18T00:04:22Z,1438,1531,1199,2
pallets__flask-5014,pallets/flask,<15 min fix,2023-03-04T18:36:21Z,195,390,465,1
psf__requests-1142,psf/requests,<15 min fix,2013-01-25T05:19:16Z,381,743,638,1
psf__requests-1724,psf/requests,<15 min fix,2013-11-04T09:37:00Z,7476,863,602,1
psf__requests-1766,psf/requests,<15 min fix,2013-11-29T08:38:09Z,897,621,571,1
psf__requests-1921,psf/requests,<15 min fix,2014-02-14T22:15:56Z,708,388,705,1
psf__requests-2317,psf/requests,<15 min fix,2014-11-01T02:20:16Z,841,763,466,1
psf__requests-2931,psf/requests,15 min - 1 hour,2015-12-16T14:57:00Z,271,723,634,1
psf__requests-5414,psf/requests,<15 min fix,2020-04-05T16:52:04Z,1428,511,516,1
